Time,value
08-09-2021 00:00,0.0670
08-09-2021 00:05,0.0700
08-09-2021 00:10,0.0720
08-09-2021 00:15,0.0700
08-09-2021 00:20,0.0700
08-09-2021 00:25,0.0660
08-09-2021 00:30,0.0650
08-09-2021 00:35,0.0660
08-09-2021 00:40,0.0660
08-09-2021 00:45,0.0660
08-09-2021 00:50,0.0660
08-09-2021 00:55,0.0660
08-09-2021 01:00,0.0660
08-09-2021 01:05,0.0700
08-09-2021 01:10,0.0710
08-09-2021 01:15,0.0650
08-09-2021 01:20,0.0670
08-09-2021 01:25,0.0660
08-09-2021 01:30,0.0660
08-09-2021 01:35,0.0670
08-09-2021 01:40,0.0660
08-09-2021 01:45,0.0660
08-09-2021 01:50,0.0660
08-09-2021 01:55,0.0660
08-09-2021 02:01,0.0660
08-09-2021 02:06,0.0660
08-09-2021 02:11,0.153
08-09-2021 02:16,0.0800
08-09-2021 02:21,0.0720
08-09-2021 02:26,0.0680
08-09-2021 02:31,0.0660
08-09-2021 02:36,0.0660
08-09-2021 02:41,0.0700
08-09-2021 02:46,0.0680
08-09-2021 02:51,0.0660
08-09-2021 02:56,0.0670
08-09-2021 03:01,0.0650
08-09-2021 03:06,0.0660
08-09-2021 03:11,0.0660
08-09-2021 03:16,0.0660
08-09-2021 03:21,0.0660
08-09-2021 03:26,0.0660
08-09-2021 03:31,0.0690
08-09-2021 03:36,0.0680
08-09-2021 03:41,0.0690
08-09-2021 03:46,0.0680
08-09-2021 03:51,0.0660
08-09-2021 03:56,0.0660
08-09-2021 04:01,0.0700
08-09-2021 04:06,0.0670
08-09-2021 04:11,0.0660
08-09-2021 04:16,0.0650
08-09-2021 04:21,0.0650
08-09-2021 04:26,0.0660
08-09-2021 04:31,0.0670
08-09-2021 04:36,0.0680
08-09-2021 04:41,0.0690
08-09-2021 04:46,0.0660
08-09-2021 04:51,0.0670
08-09-2021 04:56,0.0650
08-09-2021 05:01,0.0690
08-09-2021 05:06,0.0660
08-09-2021 05:11,0.0650
08-09-2021 05:16,0.0680
08-09-2021 05:21,0.0670
08-09-2021 05:26,0.0730
08-09-2021 05:31,0.0700
08-09-2021 05:36,0.0680
08-09-2021 05:41,0.0690
08-09-2021 05:46,0.0660
08-09-2021 05:51,0.0660
08-09-2021 05:56,0.0670
08-09-2021 06:01,0.0690
08-09-2021 06:06,0.0660
08-09-2021 06:11,0.0690
08-09-2021 06:16,0.0680
08-09-2021 06:21,0.0720
08-09-2021 06:26,0.0730
08-09-2021 06:31,0.0700
08-09-2021 06:36,0.107
08-09-2021 06:42,0.129
08-09-2021 06:47,0.0790
08-09-2021 06:52,0.0760
08-09-2021 06:57,0.0730
08-09-2021 07:02,0.142
08-09-2021 07:07,0.136
08-09-2021 07:12,0.145
08-09-2021 07:17,0.121
08-09-2021 07:22,0.0770
08-09-2021 07:27,0.0780
08-09-2021 07:32,0.0730
08-09-2021 07:37,0.0740
08-09-2021 07:42,0.0770
08-09-2021 07:47,0.0760
08-09-2021 07:52,0.142
08-09-2021 07:57,0.0790
08-09-2021 08:02,0.0800
08-09-2021 08:07,0.119
08-09-2021 08:12,0.127
08-09-2021 08:17,0.138
08-09-2021 08:22,0.0720
08-09-2021 08:27,0.0700
08-09-2021 08:32,0.0730
08-09-2021 08:37,0.0760
08-09-2021 08:42,0.131
08-09-2021 08:47,0.146
08-09-2021 08:52,0.0780
08-09-2021 08:57,0.0760
08-09-2021 09:02,0.0730
08-09-2021 09:07,0.141
08-09-2021 09:12,0.0800
08-09-2021 09:17,0.0730
08-09-2021 09:22,0.0710
08-09-2021 09:27,0.0270
08-09-2021 09:32,0.0230
08-09-2021 09:37,0.0210
