Asset name,ASN19578 Hov?ùs Kedjestigen,
Exported on,"12 October 2021, 09:40:51",
Timezone,UTC +2,
,,
Date/Time,"Water level, nap (cm)",Temperature (?¯C)
24-06-2021 02:00,75,18.8
25-06-2021 02:00,75,19.3
26-06-2021 02:00,75,19.4
27-06-2021 02:00,75,19
28-06-2021 02:00,75,18.7
29-06-2021 02:00,75,19
30-06-2021 02:00,75,19.4
01-07-2021 02:00,75,19.6
02-07-2021 02:00,75,19.1
03-07-2021 02:00,75,20
04-07-2021 02:00,75,20.5
05-07-2021 02:00,75,20.9
06-07-2021 02:00,75,20.8
07-07-2021 02:00,75,20.5
08-07-2021 02:00,75,20.2
09-07-2021 02:00,75,20.6
10-07-2021 02:00,75,21.1
11-07-2021 02:00,75,19.5
12-07-2021 02:00,75,18.9
13-07-2021 02:00,75,20.1
14-07-2021 02:00,75,20.9
15-07-2021 02:00,75,21.4
16-07-2021 02:00,75,22
17-07-2021 02:00,75,22.4
18-07-2021 02:00,75,22
19-07-2021 02:00,75,21.1
20-07-2021 02:00,75,21.4
21-07-2021 02:00,75,21.3
22-07-2021 02:00,75,21.2
23-07-2021 02:00,75,21.5
24-07-2021 02:00,75,21.4
25-07-2021 02:00,75,21.9
26-07-2021 02:00,75,22.1
27-07-2021 02:00,75,21.4
28-07-2021 02:00,75,21.6
29-07-2021 02:00,75,21.3
30-07-2021 02:00,75,19.5
31-07-2021 02:00,75,19.6
01-08-2021 02:00,75,19.5
02-08-2021 02:00,75,19
03-08-2021 02:00,75,18.6
04-08-2021 02:00,75,18.6
05-08-2021 02:00,75,18.7
06-08-2021 02:00,75,19.1
07-08-2021 02:00,75,19.2
08-08-2021 02:00,75,19.3
09-08-2021 02:00,75,19.4
10-08-2021 02:00,75,19.4
11-08-2021 02:00,75,18.5
12-08-2021 02:00,75,18.7
13-08-2021 02:00,75,19.2
14-08-2021 02:00,75,18.7
15-08-2021 02:00,75,18.1
16-08-2021 02:00,75,18.2
17-08-2021 02:00,75,17.8
18-08-2021 02:00,75,17.1
19-08-2021 02:00,75,17.1
19-08-2021 11:14,5,18.1
19-08-2021 11:15,4,18.4
19-08-2021 11:18,4,19.5
19-08-2021 11:20,3,20.5
19-08-2021 11:25,4,19.8
19-08-2021 11:30,4,19.7
19-08-2021 11:35,4,19.8
19-08-2021 11:40,5,19.9
19-08-2021 11:45,5,20.1
19-08-2021 11:50,5,20.3
19-08-2021 11:55,5,20.5
19-08-2021 12:00,5,20.7
19-08-2021 12:05,5,20.8
19-08-2021 12:10,5,21
19-08-2021 12:15,5,21.2
19-08-2021 12:20,5,21.3
19-08-2021 12:25,5,21.4
19-08-2021 12:30,5,21.6
19-08-2021 12:35,6,21.7
19-08-2021 12:40,5,21.8
19-08-2021 12:45,5,21.9
19-08-2021 12:50,5,22
19-08-2021 12:55,6,22.2
19-08-2021 13:00,5,22.4
19-08-2021 13:05,4,22.5
19-08-2021 13:10,3,22.6
19-08-2021 13:15,3,22.6
19-08-2021 13:20,3,22.8
19-08-2021 13:25,3,22.8
19-08-2021 13:30,3,22.9
19-08-2021 13:35,3,23
19-08-2021 13:40,4,23.1
19-08-2021 13:45,4,23.2
19-08-2021 13:50,5,23.3
19-08-2021 13:55,4,23.4
19-08-2021 14:00,4,23.5
19-08-2021 14:05,3,23.6
19-08-2021 14:10,3,23.7
19-08-2021 14:15,2,23.8
19-08-2021 14:20,2,23.9
19-08-2021 14:25,2,23.9
19-08-2021 14:30,3,24
19-08-2021 14:35,4,24
19-08-2021 14:40,4,24.1
19-08-2021 14:45,4,24.1
19-08-2021 14:50,4,24.1
19-08-2021 14:55,4,24.1
19-08-2021 15:00,4,24.1
19-08-2021 15:05,4,24.1
19-08-2021 15:10,4,24.1
19-08-2021 15:15,3,24
19-08-2021 15:20,3,24
19-08-2021 15:25,3,23.9
19-08-2021 15:30,4,23.9
19-08-2021 15:35,4,23.8
19-08-2021 15:40,4,23.8
19-08-2021 15:45,4,23.7
19-08-2021 15:50,4,23.6
19-08-2021 15:55,4,23.6
19-08-2021 16:00,4,23.5
19-08-2021 16:05,5,23.5
19-08-2021 16:10,5,23.4
19-08-2021 16:15,5,23.4
19-08-2021 16:20,5,23.3
19-08-2021 16:25,5,23.3
19-08-2021 16:30,5,23.2
19-08-2021 16:35,6,23.1
19-08-2021 16:40,6,23.1
19-08-2021 16:45,6,23
19-08-2021 16:50,6,23
19-08-2021 16:55,6,22.9
19-08-2021 17:00,6,22.9
19-08-2021 17:05,5,22.8
19-08-2021 17:10,5,22.8
19-08-2021 17:15,5,22.7
19-08-2021 17:20,5,22.7
19-08-2021 17:25,5,22.7
19-08-2021 17:30,5,22.6
19-08-2021 17:35,5,22.6
19-08-2021 17:40,5,22.5
19-08-2021 17:45,5,22.5
19-08-2021 17:50,5,22.4
19-08-2021 17:55,5,22.4
19-08-2021 18:00,5,22.3
19-08-2021 18:05,4,22.3
19-08-2021 18:10,4,22.2
19-08-2021 18:15,4,22.2
19-08-2021 18:20,5,22.1
19-08-2021 18:25,5,22.1
19-08-2021 18:30,5,22
19-08-2021 18:35,5,22
19-08-2021 18:40,5,21.9
19-08-2021 18:45,5,21.9
19-08-2021 18:50,5,21.8
19-08-2021 18:55,5,21.8
19-08-2021 19:00,4,21.7
19-08-2021 19:05,4,21.7
19-08-2021 19:10,4,21.6
19-08-2021 19:15,4,21.6
19-08-2021 19:20,4,21.5
19-08-2021 19:25,3,21.5
19-08-2021 19:30,3,21.5
19-08-2021 19:35,2,21.5
19-08-2021 19:40,2,21.4
19-08-2021 19:45,2,21.4
19-08-2021 19:50,3,21.4
19-08-2021 19:55,4,21.3
19-08-2021 20:00,4,21.3
19-08-2021 20:05,4,21.2
19-08-2021 20:10,5,21.2
19-08-2021 20:15,4,21.1
19-08-2021 20:20,4,21
19-08-2021 20:25,3,21
19-08-2021 20:30,3,20.9
19-08-2021 20:35,4,20.9
19-08-2021 20:40,3,20.8
19-08-2021 20:45,3,20.7
19-08-2021 20:50,4,20.7
19-08-2021 20:55,4,20.6
19-08-2021 21:00,4,20.5
19-08-2021 21:05,5,20.5
19-08-2021 21:10,5,20.4
19-08-2021 21:15,5,20.4
19-08-2021 21:20,5,20.3
19-08-2021 21:25,4,20.3
19-08-2021 21:30,4,20.2
19-08-2021 21:35,4,20.2
19-08-2021 21:40,4,20.1
19-08-2021 21:45,4,20
19-08-2021 21:50,4,20
19-08-2021 21:55,3,19.9
19-08-2021 22:00,3,19.9
19-08-2021 22:05,4,19.8
19-08-2021 22:10,4,19.8
19-08-2021 22:15,4,19.8
19-08-2021 22:20,5,19.7
19-08-2021 22:25,6,19.7
19-08-2021 22:30,6,19.6
19-08-2021 22:35,6,19.6
19-08-2021 22:40,5,19.6
19-08-2021 22:45,5,19.5
19-08-2021 22:50,4,19.5
19-08-2021 22:55,4,19.4
19-08-2021 23:00,3,19.4
19-08-2021 23:05,3,19.4
19-08-2021 23:10,3,19.4
19-08-2021 23:15,3,19.4
19-08-2021 23:20,4,19.4
19-08-2021 23:25,5,19.3
19-08-2021 23:30,5,19.3
19-08-2021 23:35,5,19.3
19-08-2021 23:40,5,19.2
19-08-2021 23:45,5,19.2
19-08-2021 23:50,5,19.2
19-08-2021 23:55,5,19.2
20-08-2021 00:00,4,19.2
20-08-2021 00:05,4,19.2
20-08-2021 00:10,4,19.1
20-08-2021 00:15,4,19.1
20-08-2021 00:20,4,19.1
20-08-2021 00:25,4,19.1
20-08-2021 00:30,4,19.1
20-08-2021 00:35,4,19
20-08-2021 00:40,5,19
20-08-2021 00:45,4,19
20-08-2021 00:50,4,19
20-08-2021 00:55,5,19
20-08-2021 01:00,5,19
20-08-2021 01:05,5,19
20-08-2021 01:10,5,18.9
20-08-2021 01:15,5,18.9
20-08-2021 01:20,5,18.9
20-08-2021 01:25,4,18.9
20-08-2021 01:30,4,18.9
20-08-2021 01:35,4,18.9
20-08-2021 01:40,4,18.9
20-08-2021 01:45,4,18.9
20-08-2021 01:50,4,18.8
20-08-2021 01:55,4,18.8
20-08-2021 02:00,4,18.8
20-08-2021 02:05,4,18.8
20-08-2021 02:10,4,18.8
20-08-2021 02:15,4,18.8
20-08-2021 02:20,4,18.7
20-08-2021 02:25,4,18.7
20-08-2021 02:30,4,18.7
20-08-2021 02:35,4,18.7
20-08-2021 02:40,4,18.7
20-08-2021 02:45,4,18.7
20-08-2021 02:50,4,18.7
20-08-2021 02:55,4,18.6
20-08-2021 03:00,4,18.6
20-08-2021 03:05,4,18.6
20-08-2021 03:10,4,18.6
20-08-2021 03:15,4,18.6
20-08-2021 03:20,4,18.6
20-08-2021 03:25,4,18.6
20-08-2021 03:30,4,18.6
20-08-2021 03:35,4,18.6
20-08-2021 03:40,4,18.6
20-08-2021 03:45,4,18.5
20-08-2021 03:50,5,18.5
20-08-2021 03:55,5,18.5
20-08-2021 04:00,5,18.5
20-08-2021 04:05,5,18.5
20-08-2021 04:10,5,18.5
20-08-2021 04:15,5,18.5
20-08-2021 04:20,4,18.5
20-08-2021 04:25,4,18.5
20-08-2021 04:30,4,18.4
20-08-2021 04:35,4,18.4
20-08-2021 04:40,5,18.4
20-08-2021 04:45,5,18.4
20-08-2021 04:50,5,18.4
20-08-2021 04:55,5,18.4
20-08-2021 05:00,5,18.4
20-08-2021 05:05,5,18.4
20-08-2021 05:10,5,18.4
20-08-2021 05:15,5,18.4
20-08-2021 05:20,4,18.4
20-08-2021 05:25,4,18.4
20-08-2021 05:30,4,18.3
20-08-2021 05:35,4,18.3
20-08-2021 05:40,4,18.3
20-08-2021 05:45,4,18.3
20-08-2021 05:50,5,18.3
20-08-2021 05:55,5,18.3
20-08-2021 06:00,5,18.3
20-08-2021 06:05,5,18.3
20-08-2021 06:10,4,18.3
20-08-2021 06:15,4,18.3
20-08-2021 06:20,4,18.2
20-08-2021 06:25,4,18.3
20-08-2021 06:30,4,18.2
20-08-2021 06:35,4,18.3
20-08-2021 06:40,4,18.2
20-08-2021 06:45,4,18.2
20-08-2021 06:50,4,18.2
20-08-2021 06:55,4,18.2
20-08-2021 07:00,3,18.3
20-08-2021 07:05,3,18.3
20-08-2021 07:10,3,18.3
20-08-2021 07:15,4,18.3
20-08-2021 07:20,4,18.3
20-08-2021 07:25,4,18.3
20-08-2021 07:30,5,18.3
20-08-2021 07:35,5,18.3
20-08-2021 07:40,5,18.3
20-08-2021 07:45,4,18.3
20-08-2021 07:50,4,18.3
20-08-2021 07:55,4,18.3
20-08-2021 08:00,4,18.3
20-08-2021 08:05,3,18.3
20-08-2021 08:10,4,18.4
20-08-2021 08:15,4,18.4
20-08-2021 08:20,4,18.4
20-08-2021 08:25,4,18.5
20-08-2021 08:30,4,18.5
20-08-2021 08:35,4,18.6
20-08-2021 08:40,4,18.7
20-08-2021 08:45,4,18.7
20-08-2021 08:50,4,18.8
20-08-2021 08:55,4,18.9
20-08-2021 09:00,4,18.9
20-08-2021 09:05,4,19
20-08-2021 09:10,4,19
20-08-2021 09:15,4,19.1
20-08-2021 09:20,4,19.1
20-08-2021 09:25,4,19.2
20-08-2021 09:30,5,19.3
20-08-2021 09:35,5,19.4
20-08-2021 09:40,5,19.4
20-08-2021 09:45,5,19.5
20-08-2021 09:50,5,19.6
20-08-2021 09:55,5,19.7
20-08-2021 10:00,5,19.8
20-08-2021 10:05,5,19.8
20-08-2021 10:10,4,19.9
20-08-2021 10:15,4,19.9
20-08-2021 10:20,4,20
20-08-2021 10:25,4,20
20-08-2021 10:30,4,20.1
20-08-2021 10:35,4,20.2
20-08-2021 10:40,4,20.3
20-08-2021 10:45,4,20.4
20-08-2021 10:50,4,20.5
20-08-2021 10:55,3,20.6
20-08-2021 11:00,3,20.7
20-08-2021 11:05,4,20.7
20-08-2021 11:10,3,20.8
20-08-2021 11:15,3,20.9
20-08-2021 11:20,4,21
20-08-2021 11:25,4,21.1
20-08-2021 11:30,5,21.2
20-08-2021 11:35,5,21.3
20-08-2021 11:40,4,21.4
20-08-2021 11:45,5,21.6
20-08-2021 11:50,5,21.7
20-08-2021 11:55,5,21.8
20-08-2021 12:00,5,21.9
20-08-2021 12:05,5,22
20-08-2021 12:10,5,22.1
20-08-2021 12:15,5,22.2
20-08-2021 12:20,5,22.2
20-08-2021 12:25,5,22.3
20-08-2021 12:30,5,22.4
20-08-2021 12:35,5,22.5
20-08-2021 12:40,5,22.6
20-08-2021 12:45,5,22.7
20-08-2021 12:50,5,22.8
20-08-2021 12:55,5,22.8
20-08-2021 13:00,4,22.9
20-08-2021 13:05,5,22.9
20-08-2021 13:10,4,22.9
20-08-2021 13:15,4,23
20-08-2021 13:20,4,23
20-08-2021 13:25,5,23
20-08-2021 13:30,4,23.1
20-08-2021 13:35,5,23.1
20-08-2021 13:40,5,23.2
20-08-2021 13:45,5,23.2
20-08-2021 13:50,5,23.3
20-08-2021 13:55,5,23.3
20-08-2021 14:00,5,23.3
20-08-2021 14:05,5,23.4
20-08-2021 14:10,5,23.4
20-08-2021 14:15,5,23.5
20-08-2021 14:20,5,23.5
20-08-2021 14:25,5,23.5
20-08-2021 14:30,5,23.5
20-08-2021 14:35,5,23.6
20-08-2021 14:40,5,23.6
20-08-2021 14:45,5,23.6
20-08-2021 14:50,4,23.6
20-08-2021 14:55,4,23.6
20-08-2021 15:00,4,23.6
20-08-2021 15:05,4,23.6
20-08-2021 15:10,4,23.5
20-08-2021 15:15,4,23.5
20-08-2021 15:20,4,23.4
20-08-2021 15:25,4,23.4
20-08-2021 15:30,4,23.3
20-08-2021 15:35,5,23.1
20-08-2021 15:40,5,23
20-08-2021 15:45,4,22.9
20-08-2021 15:50,4,22.8
20-08-2021 15:55,4,22.7
20-08-2021 16:00,4,22.6
20-08-2021 16:05,3,22.5
20-08-2021 16:10,3,22.4
20-08-2021 16:15,3,22.4
20-08-2021 16:20,3,22.3
20-08-2021 16:25,3,22.2
20-08-2021 16:30,3,22.2
20-08-2021 16:35,4,22.1
20-08-2021 16:40,4,22.1
20-08-2021 16:45,4,22
20-08-2021 16:50,4,21.9
20-08-2021 16:55,4,21.9
20-08-2021 17:00,5,21.8
20-08-2021 17:05,4,21.8
20-08-2021 17:10,5,21.8
20-08-2021 17:15,5,21.7
20-08-2021 17:20,5,21.7
20-08-2021 17:25,4,21.7
20-08-2021 17:30,4,21.7
20-08-2021 17:35,4,21.7
